month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
1990-06,440.0,,440.0,440.0
1990-07,440.0,,440.0,440.0
1990-08,450.0,,450.0,450.0
1990-09,480.0,,480.0,480.0
1990-10,480.0,,480.0,480.0
1990-11,510.0,,510.0,510.0
1990-12,540.0,,540.0,540.0
1991-01,570.0,,570.0,570.0
1991-02,600.0,,600.0,600.0
1991-03,620.0,,620.0,620.0
1991-04,640.0,,640.0,640.0
1991-05,670.0,,670.0,670.0
1991-06,700.0,,700.0,700.0
1991-07,800.0,,800.0,800.0
1991-08,800.0,,800.0,800.0
1991-09,850.0,,850.0,850.0
1991-10,915.0,,915.0,915.0
1991-11,915.0,,915.0,915.0
1991-12,915.0,,915.0,915.0
1992-01,970.0,,970.0,970.0
1992-02,985.48,,985.48,1000.0
1992-03,1160.08,,1160.08,1160.08
1992-04,1158.91,,1158.91,1158.91
1992-05,1164.94,,1164.94,1168.62
1992-06,1166.06,,1166.06,1169.47
1992-07,1177.86,,1177.86,1184.44
1992-08,1185.29,,1185.29,1185.13
1992-09,1185.15,,1185.15,1186.86
1992-10,1181.07,,1181.07,1182.39
1992-11,1196.34,,1196.34,1210.4
1992-12,1213.93,,1213.93,1217.15
1993-01,1217.12,,1217.12,1218.25
1993-02,1217.09,,1217.09,1215.49
1993-03,1217.52,,1217.52,1220.57
1993-04,1218.09,,1218.09,1219.18
1993-05,1213.27,,1213.27,1203.22
1993-06,1199.09,,1199.09,1199.3
1993-07,1197.57,,1197.57,1198.46
1993-08,1196.65,,1196.65,1191.47
1993-09,1181.988,,1181.988,1172.14
1993-10,1170.837,,1170.837,1171.23
1993-11,1165.009,,1165.009,1161.13
1993-12,1146.003,,1146.003,1130.15
1994-01,1112.71,,1112.71,1044.5
1994-02,1047.222,,1047.222,1092.68
1994-03,1079.223,,1079.223,1030.58
1994-04,1007.032,,1007.032,996.3
1994-05,965.708,,965.708,952.61
1994-06,962.59,,962.59,969.62
1994-07,967.065,,967.065,953.31
1994-08,921.379,,921.379,918.91
1994-09,920.792,,920.792,920.48
1994-10,919.781,,919.781,918.79
1994-11,920.138,,920.138,925.32
1994-12,929.75,,929.75,926.77
1995-01,925.04,,925.04,925.41
1995-02,925.528,,925.528,926.64
1995-03,927.035,,927.035,927.06
1995-04,928.828,,928.828,931.47
1995-05,941.02,,941.02,964.75
1995-06,964.81,,964.81,965.86
1995-07,968.93,,968.93,977.01
1995-08,970.03,,970.03,968.49
1995-09,977.7,,977.7,969.38
1995-10,1043.38,,1043.38,1059.49
1995-11,1028.3,,1028.3,1030.44
1995-12,1023.25,,1023.25,1009.45
1996-01,1017.72,,1017.72,1030.44
