area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Mukono/Kiyoola,2478.0,0,0,233790.6595,,,,,,,,,,,,,,,,,,,
Mpigi/Kawumba,726.0,0,0,191174.2595,,,,,,,,,,,,,,,,,,,
Buikwe/Njeru North Ward,2661.0,0,0,596752.632,,,,,,,,,,,,,,,,,,,
Mukono/Naggalama,2465.0,0,1,423871.043,,,,,,,,,,,,,,,,,,,
Wakiso/Kikoko,1328.0,0,15,514001.9448,,,,,,,,,,,,,,,,,,,
Wakiso/Gombe,2179.0,0,0,386218.4958,,,,,,,,,,,,,,,,,,,
Kampala/Bukoto Ii,7264.0,41,24,1244192.6334,937500000.0,10276334.554,29360955.8685,4.2376,3.3106,5.7244,1.0,0.9997,0.9967,0.003,1300000.0,28.7121,24.8839,31.1048,4333333.3333,0.9769,0.6267,0.6236,-278843.7192
Wakiso/Masajja,10831.0,0,0,661067.4957,,,,,,,,,,,,,,,,,,,
Luwero/Kireku,1321.0,0,0,190196.6934,,,,,,,,,,,,,,,,,,,
Buikwe/Busagazi,861.0,0,0,185209.0097,,,,,,,,,,,,,,,,,,,
Kampala/Mbuya Ii,16530.0,33,13,679175.7141,,,,,,,,,,0.0342,1000000.0,20.3753,13.5835,27.167,3333333.3333,0.9945,0.8243,0.7901,-537857.8396
Mukono/Bukasa,2154.0,0,0,234429.6449,,,,,,,,,,,,,,,,,,,
Buikwe/Kimera,520.0,0,0,187296.5772,,,,,,,,,,,,,,,,,,,
Wakiso/Manze,669.0,0,0,299596.7214,,,,,,,,,,,,,,,,,,,
Wakiso/Wambale,2084.0,0,0,321098.0362,,,,,,,,,,,,,,,,,,,
Wakiso/Gombe Ward,3742.0,0,0,611464.8473,,,,,,,,,,,,,,,,,,,
Buikwe/Buikwe A,2841.0,0,0,343036.4492,,,,,,,,,,,,,,,,,,,
Wakiso/Nakawuka,2536.0,0,0,396533.2075,,,,,,,,,,,,,,,,,,,
Wakiso/Nabweru South Ward,7673.0,4,13,583676.2228,,,,,,,,,,,,,,,,,,,
Mpigi/Sekiwunga,1740.0,0,0,356039.8574,,,,,,,,,,,,,,,,,,,
Wakiso/Kireka,38604.0,101,55,719332.8982,410000000.0,4494183.6449,12840524.6998,5.6021,5.1041,7.4092,0.9997,0.9867,0.9272,0.0595,600000.0,35.9666,33.2,43.16,2000000.0,0.8868,0.5456,0.4862,-73210.3584
Buikwe/Malindi,3762.0,0,0,324625.6458,,,,,,,,,,,,,,,,,,,
Wakiso/Gguluddene,2023.0,0,0,355376.2537,,,,,,,,,,,,,,,,,,,
Kampala/Civic Center,686.0,6,9,946475.1016,,,,,,,,,,,,,,,,,,,
Kampala/Najjanankubi I,4084.0,2,3,799157.2533,,,,,,,,,,,,,,,,,,,
Mukono/Namanoga,2127.0,0,0,187739.3664,,,,,,,,,,,,,,,,,,,
Mukono/Kiwafu,1769.0,0,0,211010.233,,,,,,,,,,,,,,,,,,,
Mukono/Bukereere Ward,10853.0,0,0,516328.6674,,,,,,,,,,,,,,,,,,,
Luwero/Kalule,2048.0,0,0,387838.2748,,,,,,,,,,,,,,,,,,,
