pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (450016.566133 33199.834839),76,37,39,1.28,12.861,11.866,11.462,14.135,20052.263,926441.726,930281.432,931847.179,32192.694,1108838.852,1120428.624,1120914.441,39944.166,1200106.091,1219936.705,1219458.885,32.551,0.3
POINT (450116.903057 37498.47802),4,1,3,1.54,14.166,13.847,8.507,15.439,20004.108,937772.865,925082.583,938454.361,34074.898,1135844.856,1141353.689,1149096.517,41375.322,1217417.207,1236021.095,1237965.609,32.552,0.339
POINT (450237.784205 27212.228187),88,30,58,0.018,20.872,11.451,18.918,22.131,14819.484,702035.973,724820.844,713103.41,28448.082,1054331.403,1068574.358,1062537.022,36937.485,1158648.366,1181415.348,1173637.38,32.553,0.246
POINT (450260.479279 38134.038843),4,4,0,0.119,14.129,13.3,5.703,15.402,21585.696,961058.578,946869.312,962289.696,35168.111,1147941.978,1154814.012,1162859.848,41913.325,1223954.656,1242897.707,1245131.795,32.553,0.345
POINT (450336.177319 30400.307891),1,0,1,0.381,14.169,17.063,16.658,15.427,17224.098,820380.3,856197.787,833932.135,29526.666,1071505.21,1086631.367,1082527.127,38583.404,1181191.526,1202097.106,1199320.18,32.554,0.275
POINT (450411.721384 36077.004242),2,2,0,1.368,11.57,12.018,7.631,12.844,20861.3,958465.311,947781.334,960160.349,33815.996,1132502.252,1139219.76,1144713.553,41058.608,1214701.024,1232748.401,1234499.652,32.554,0.326
POINT (450508.847429 759.364449),56,19,37,23.707,83.946,49.369,65.061,84.926,14.592,182.357,176.674,130.664,212.925,2805.172,2577.981,2492.956,1538.528,15107.597,18627.621,15997.558,32.555,0.007
POINT (450579.189391 36754.257242),1,0,1,0.052,10.406,9.858,4.665,11.679,23630.443,1000699.268,989225.591,1003207.744,35998.589,1155647.178,1166408.528,1171290.782,42053.267,1225223.883,1245283.757,1246408.09,32.556,0.333
POINT (450652.993644 31269.895544),2,0,2,0.158,13.062,15.678,15.273,14.32,17988.826,853728.315,883161.998,865892.71,29975.88,1077633.672,1092365.479,1088799.114,38967.69,1186744.11,1207166.965,1205371.827,32.557,0.283
POINT (450691.748777 25762.014909),96,16,80,2.181,22.269,10.056,17.524,23.527,14952.489,665659.363,693777.91,680350.689,28930.027,1061841.163,1073739.739,1069553.599,37143.097,1162958.913,1184351.045,1177561.792,32.557,0.233
POINT (450767.899327 41126.928198),1,1,0,0.094,16.437,13.673,6.066,17.417,20962.6,946508.568,927614.781,945101.321,35496.031,1153891.507,1157500.151,1168517.374,42231.164,1230060.872,1250173.79,1252979.061,32.558,0.372
POINT (450816.478263 28738.674855),7,2,5,0.454,17.388,15.326,21.623,18.646,15233.446,746650.079,788933.04,762546.806,28427.801,1054080.996,1071084.851,1064559.063,37367.472,1162877.996,1185802.603,1179187.463,32.558,0.26
POINT (451035.427675 17650.689946),4,3,1,2.79,44.012,19.42,26.888,45.27,4528.46,36459.972,58722.237,44089.802,18523.571,628063.888,659875.194,637584.513,31594.601,1083802.581,1096944.499,1093024.717,32.56,0.16
