pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (450019.161816 43793.518455),3,0,3,0.619,30.644,27.15,17.261,32.016,6863.765,349704.502,373609.373,358345.599,19393.566,909119.214,889088.723,905950.297,32401.565,1118139.954,1109203.988,1127258.822,32.551,0.396
POINT (450116.903057 37498.47802),9,2,7,1.54,17.855,17.539,10.597,19.609,13259.296,793824.399,792178.79,795757.703,26417.35,1040573.555,1030199.158,1045290.926,35651.0,1150686.85,1161511.899,1166042.563,32.552,0.339
POINT (450237.784205 27212.228187),422,149,273,0.018,27.029,14.881,24.588,28.764,7818.164,318203.491,330595.892,328121.618,19896.201,843664.565,880051.419,857832.497,29609.387,1068200.898,1086029.66,1077387.325,32.553,0.246
POINT (450260.479279 38134.038843),8,8,0,0.119,18.232,17.254,7.378,19.986,14228.436,810252.951,809441.665,813695.937,27541.433,1055110.033,1044382.595,1060833.06,36481.615,1160792.724,1171639.706,1177248.12,32.553,0.345
POINT (450336.177319 30400.307891),2,0,2,0.381,18.207,22.067,21.541,19.941,10774.319,658400.81,664841.191,663804.951,22204.311,957511.944,972897.601,965554.428,31112.732,1088662.149,1106448.744,1100779.329,32.554,0.275
POINT (450411.721384 36077.004242),6,5,1,1.368,14.532,15.213,9.51,16.286,14095.395,817022.211,809650.996,814073.843,26804.714,1049955.09,1047658.005,1057194.114,35471.165,1147788.37,1160108.62,1162472.746,32.554,0.326
POINT (450505.427823 41031.108898),2,0,2,1.248,24.674,21.158,11.282,26.046,10969.66,665835.574,692536.858,679413.541,23876.266,991906.777,974506.274,992773.222,35079.821,1148085.066,1152389.116,1162441.693,32.555,0.371
POINT (450508.847429 759.364449),129,46,83,23.707,101.919,57.068,77.467,103.291,13.056,179.733,158.08,123.597,125.714,1570.073,1522.071,1326.32,589.515,6502.402,7137.513,6780.965,32.555,0.007
POINT (450579.189391 36754.257242),2,0,2,0.052,13.413,12.8,6.049,15.168,16191.021,870362.232,856304.286,867368.946,29306.135,1080224.874,1079332.554,1089320.786,37338.79,1168277.39,1183639.823,1185570.321,32.556,0.333
POINT (450652.993644 31269.895544),4,0,4,0.158,16.834,20.334,19.808,18.569,11422.738,682960.825,701652.759,690187.999,22834.796,977470.698,989237.673,984495.975,31405.039,1093974.734,1110287.563,1105974.817,32.557,0.283
